Department,Term,SubjectCode,CourseNum,SectionCode,CourseLevelCode,MinimumCredits,FacultyLoad,BuildingAndRoom,MeetingDays,MeetingTime,SectionStartDate,SectionEndDate,SemesterLength,Building,RoomNumber,MeetingStart,MeetingDurationMinutes,MeetingEnd,ShortTitle,Faculty,SectionStatus,InstructionalMethod,DeliveryMode,Comments,LastEditTimestamp
"Computer Science",FA,"DATA",100,B,100,3, 3,"SB 372","TTH","12:30PM - 1:45PM",,,Full,"SB","372","12:30 PM","75","1:45 PM","Productivity Software","Brenda VanderLinden","Active","LEC","","","2021-07-14T18:52:51-04:00"
"Computer Science",SP,"DATA",100,B,100,3, 3,"SB 372","TTH","12:30PM - 1:45PM",,,Full,"SB","372","12:30 PM","75","1:45 PM","Productivity Software","Brenda VanderLinden","Active","LEC","","","2021-07-14T19:23:13-04:00"
"Computer Science",FA,"DATA",100,C,100,3, 3,"SB 372","TTH","2:00PM - 3:15PM",,,Full,"SB","372","2:00 PM","75","3:15 PM","Productivity Software","Brenda VanderLinden","Active","LEC","","","2021-11-13T14:05:51-05:00"
"Computer Science",SP,"DATA",100,C,100,3, 3,"SB 372","TTH","2:00PM - 3:15PM",,,Full,"SB","372","2:00 PM","75","3:15 PM","Productivity Software","Brenda VanderLinden","Active","LEC","","","2021-11-20T14:07:13-05:00"
"Computer Science",FA,"DATA",100,D,100,3, 3,"SB 372","TTH","6:30PM - 7:45PM",,,Full,"SB","372","6:30 PM","75","7:45 PM","Productivity Software","Jim Momeyer","Active","LEC","","","2021-07-14T18:51:27-04:00"
"Computer Science",SP,"DATA",100,D,100,3, 3,"SB 372","TTH","6:30PM - 7:45PM",,,Full,"SB","372","6:30 PM","75","7:45 PM","Productivity Software","Jim Momeyer","Active","LEC","","","2021-07-14T19:24:49-04:00"
"Computer Science",FA,"DATA",202,A,200,3, 3,"NH 253","MWF","8:30AM - 9:20AM",,,Full,"NH","253","8:30 AM","50","9:20 AM","Predictive Analytics","Kenneth C Arnold","Active","LEC","","","2022-03-23T14:33:29-04:00"
"Computer Science",FA,"DATA",202,A-S,200,0, 0,"SB 372","MWF","8:30AM - 9:20AM",,,Full,"SB","372","8:30 AM","50","9:20 AM","","Shadow-Maroon","Active","LEC","","","2022-06-08T16:20:22-04:00"
"Computer Science",FA,"DATA",202,B,200,3, 3,"NH 253","MWF","9:30AM - 10:20AM",,,Full,"NH","253","9:30 AM","50","10:20 AM","Predictive Analytics","Kenneth C Arnold","Active","LEC","","","2021-11-16T18:05:03-05:00"
"Computer Science",FA,"DATA",202,B-S,200,0, 0,"SB 372","MWF","9:30AM - 10:20AM",,,Full,"SB","372","9:30 AM","50","10:20 AM","","Shadow-Maroon","Active","LEC","","","2022-06-08T16:20:38-04:00"
"Computer Science",FA,"DATA",396,A,300,2, 0,"SB 382","T","6:30PM - 7:20PM",,,Full,"SB","382","6:30 PM","50","7:20 PM","Senior Project in Data Science","Harry Plantinga","Active","LEC","","","2022-06-08T17:00:48-04:00"
"Computer Science",SP,"DATA",398,A,300,2, 0,"NH 253","T","6:30PM - 7:20PM",,,Full,"NH","253","6:30 PM","50","7:20 PM","Senior Project in Data Science II","Harry Plantinga","Active","LEC","","","2022-06-10T12:09:52-04:00"
"Geography",SP,"GEO",566,A,500,5, 5,"","","",,,Full,"","","","","","Spatial Programming and Data Management ","Patrick Bailey","Active","LEC","","","2022-06-10T13:39:01-04:00"
