Academic Period,Course,Course Section,Section Status,Semester Hours,Instructors,Meeting Patterns,Current Section Capacity,Enrollment Count,Waitlist Count,COURSE Capacity,Start Date,End Date,Location 1,Location 1 Capacity,Location 2,Location 2 Capacity,Instructional Format
2023 Fall,CS 364 - Computer Security,CS 364-A - Computer Security,Open,4,"Adam Vedra

Brian Paige",MTH | 18:30 - 20:10,30,19,0,30,2023/8/28,2023/12/16,Science Building 354 - Unix Lab,34,,0,Lecture
2024 Spring,CS 372 - Computer Graphics,CS 372-A - Computer Graphics,Open,2,Harry Plantinga,MWF | 11:00 - 12:05,30,0,0,30,2024/1/15,2024/3/9,Science Building 354 - Unix Lab,34,Science Building 382 - Classroom,30,Lecture
2023 Fall,CS 374 - High Performance Computing,CS 374-A - High Performance Computing,Open,2,Joel Adams,MWF | 9:15 - 10:20,30,25,0,30,2023/10/23,2023/12/16,Science Building 354 - Unix Lab,34,Science Building 382 - Classroom,30,Lecture
2024 Spring,CS 375 - Artificial Intelligence,CS 375-A - Artificial Intelligence,Open,2,Ken Arnold,MWF | 9:15 - 10:20,30,0,0,30,2024/1/15,2024/3/9,Science Building 354 - Unix Lab,34,Science Building 382 - Classroom,30,Lecture
2024 Spring,CS 376 - Machine Learning,CS 376-A - Machine Learning,Open,2,Ken Arnold,MWF | 9:15 - 10:20,30,0,0,30,2024/3/11,2024/5/4,Science Building 354 - Unix Lab,34,Science Building 382 - Classroom,30,Lecture
2024 Spring,CS 383 - External Practicum,CS 383-A - External Practicum,Waitlist,1,Keith Vander Linden,T | 18:30 - 19:20 | 01/16/2024 - 05/04/2024,0,0,0,0,2024/1/16,2024/5/4,North Hall 253 - Classroom,35,,0,Internship
2023 Fall,CS 383 - External Practicum,CS 383-A - External Practicum,Waitlist,1,"Keith Vander Linden

Meredith Segur",T | 18:30 - 19:20 | 08/28/2023 - 12/16/2023,0,3,0,0,2023/8/28,2023/12/16,North Hall 253 - Classroom,35,,0,Internship
2024 Spring,CS 384 - Perspectives on Computing,CS 384-A - Perspectives on Computing,Open,4,Derek Schuurman,TTH | 10:20 - 12:00,20,0,0,20,2024/1/16,2024/5/4,Science Building 343,60,,0,Lecture
2024 Spring,CS 384 - Perspectives on Computing,CS 384-B - Perspectives on Computing,Open,4,Derek Schuurman,TTH | 12:15 - 13:55,20,0,0,20,2024/1/16,2024/5/4,Science Building 343,60,,0,Lecture
2023 Fall,CS 390 - Independent Study,CS 390-A - Advanced React Apps,Closed,4,Victor Norman,,1,2,0,1,2023/8/28,2023/12/16,,0,,0,Independent Study
